dezena,contagem_global,p_base_media,p_base_hdi95_inf,p_base_hdi95_sup,ocorr_esperadas_100_concursos_media,desvio_vs_uniforme_100_media
1,296,0.01641717717669747,0.01461701020038842,0.018287055951877462,9.850306306018483,-0.14969369398151744
2,297,0.01646058109176568,0.014506625589614774,0.01828675213894641,9.876348655059408,-0.12365134494059168
3,279,0.01547278155082183,0.013751875516833037,0.017385507131646837,9.283668930493098,-0.7163310695069015
4,317,0.017550874339221638,0.01564030136841621,0.01945029050369897,10.530524603532983,0.5305246035329829
5,325,0.018017580459350695,0.016090535441194286,0.019933306977579855,10.810548275610417,0.810548275610417
6,303,0.016797408959616178,0.015051333101446105,0.018794701254022647,10.078445375769707,0.07844537576970692
7,282,0.01564135669859714,0.013931059850270107,0.017499936814587773,9.384814019158284,-0.6151859808417155
8,297,0.016441628204878746,0.014596178064475638,0.018230690879614958,9.864976922927248,-0.13502307707275243
9,290,0.016087317189084762,0.014176346368943316,0.01793737220477841,9.652390313450857,-0.34760968654914265
10,353,0.0195435623306154,0.017529385269542622,0.021504611385241762,11.72613739836924,1.7261373983692403
11,313,0.017362343123007325,0.015503426948513789,0.01938397754785115,10.417405873804395,0.41740587380439537
12,280,0.01548022969491932,0.013839245434275891,0.01735481380909601,9.288137816951592,-0.711862183048408
13,310,0.0171701996333247,0.01529994555109894,0.01900809523507451,10.30211977999482,0.3021197799948194
14,294,0.0163204897439379,0.014452227896790222,0.01814591865802977,9.79229384636274,-0.20770615363725903
15,272,0.01513311422255045,0.013379601981594992,0.016921993809072007,9.07986853353027,-0.92013146646973
16,308,0.01704149329397615,0.015124403973431897,0.018981462682689382,10.22489597638569,0.2248959763856903
17,318,0.01763808458610984,0.015868193157142902,0.01968591240061793,10.582850751665903,0.5828507516659038
18,287,0.01590285472610686,0.01424745642154904,0.017995716405850317,9.541712835664116,-0.45828716433588407
19,292,0.016209578618183312,0.014450788217564835,0.018019544954544022,9.725747170909987,-0.2742528290900125
20,293,0.01622388935843748,0.014480461421204923,0.018122254029358208,9.734333615062488,-0.26566638493751227
21,251,0.01395430468000436,0.012366978169739029,0.015691134044844027,8.372582808002617,-1.6274171919973834
22,269,0.014893418296771568,0.013151982572217736,0.016641562294666762,8.93605097806294,-1.0639490219370593
23,316,0.017497389403538267,0.015655364090522803,0.019332409378881255,10.49843364212296,0.4984336421229606
24,300,0.016621639183235577,0.01486828050376743,0.018461045223423914,9.972983509941345,-0.02701649005865392
25,295,0.016339394466702413,0.014467491759916561,0.01816412571106018,9.803636680021448,-0.19636331997855208
26,247,0.013712672166831441,0.012038215607715418,0.015397634073709959,8.227603300098865,-1.772396699901135
27,322,0.017861646446827178,0.015865722231517516,0.019825218390443967,10.716987868096307,0.7169878680963069
28,310,0.017146666411248374,0.01536270901775731,0.01890242036481327,10.287999846749024,0.28799984674902424
29,298,0.01650881123769131,0.014691531646097227,0.018336161787044947,9.905286742614786,-0.09471325738521427
30,316,0.01749608179942014,0.015611627261005743,0.019359344167936814,10.497649079652085,0.49764907965208494
31,279,0.01544891939670688,0.013715029918514095,0.017268736219329076,9.269351638024128,-0.7306483619758722
32,322,0.017844156421887608,0.01590204457702136,0.019735157692157907,10.706493853132566,0.706493853132565
33,320,0.017728775883195793,0.015968983956288204,0.01972470457177895,10.637265529917476,0.6372655299174759
34,321,0.017777597709983134,0.015831190348952282,0.019565627229105632,10.66655862598988,0.6665586259898805
35,315,0.017435366753911906,0.015591130781931029,0.01939050634469127,10.461220052347144,0.4612200523471437
36,306,0.01698252219825786,0.015188241286885536,0.018929517867845226,10.189513318954717,0.18951331895471699
37,327,0.018129869479171862,0.016350352777755834,0.0202689667602154,10.877921687503116,0.8779216875031172
38,322,0.01785847617468573,0.01593389266578992,0.019649068244994614,10.715085704811438,0.7150857048114377
39,286,0.015848727173155813,0.01413720112609438,0.017695977584251014,9.509236303893488,-0.4907636961065123
40,284,0.015739148237617847,0.013928006573241959,0.017587663623329707,9.443488942570708,-0.5565110574292917
41,310,0.01720706605223177,0.015313703924212831,0.019024152732519162,10.324239631339063,0.32423963133906275
42,319,0.01767165705813204,0.015712179891725745,0.019594729361797507,10.602994234879224,0.6029942348792249
43,315,0.01748660895073692,0.015598275312452697,0.019325578315252636,10.491965370442152,0.4919653704421524
44,316,0.017501403358143652,0.015793918734584782,0.019543008061354054,10.500842014886192,0.5008420148861915
45,294,0.016297088137943897,0.014486314513777703,0.017998263887306926,9.778252882766338,-0.22174711723366158
46,317,0.017567871299397148,0.015734219256682058,0.019566793418282005,10.540722779638289,0.5407227796382891
47,287,0.01588841065163163,0.014017572905825343,0.01764526059085554,9.533046390978978,-0.46695360902102234
48,279,0.015471682070928994,0.013588518718316905,0.017169563682708628,9.283009242557396,-0.7169907574426034
49,306,0.01695806206521635,0.015199820047504252,0.01887520890295289,10.17483723912981,0.1748372391298096
50,296,0.01642936370795764,0.014633263634488396,0.018364602155694222,9.857618224774583,-0.14238177522541626
51,304,0.016839374875979463,0.01502758510164871,0.018746727989384086,10.103624925587678,0.10362492558767811
52,305,0.016905737372333245,0.015042021529770059,0.018741556710914396,10.143442423399947,0.14344242339994692
53,342,0.018962322002206055,0.017026322562849472,0.020828346594942235,11.377393201323633,1.3773932013236332
54,311,0.017241444024369924,0.015318456616360701,0.01912790289626142,10.344866414621954,0.3448664146219548
55,258,0.014357212287906523,0.012473419004778066,0.015942819665559244,8.614327372743913,-1.3856726272560862
56,315,0.017458087083892466,0.015497909357974056,0.019246148168580165,10.47485225033548,0.47485225033548006
57,286,0.015858251607926557,0.013943103727794578,0.017654207758013806,9.514950964755934,-0.4850490352440659
58,289,0.016014847741266585,0.014211034104300673,0.017887298158229446,9.608908644759952,-0.39109135524004884
59,290,0.016049700026279895,0.014363341902025168,0.01799638107222756,9.629820015767937,-0.3701799842320629
60,291,0.016095681103471315,0.014168611281506914,0.01781416908983401,9.657408662082789,-0.34259133791721064
