"periodo_codigo";"periodo";"variavel";"taxa_desocupacao"
"201203";"jan-fev-mar 2012";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,0"
"201204";"fev-mar-abr 2012";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,8"
"201205";"mar-abr-mai 2012";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,7"
"201206";"abr-mai-jun 2012";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,6"
"201207";"mai-jun-jul 2012";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,5"
"201208";"jun-jul-ago 2012";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,3"
"201209";"jul-ago-set 2012";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,1"
"201210";"ago-set-out 2012";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,9"
"201211";"set-out-nov 2012";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,8"
"201212";"out-nov-dez 2012";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,9"
"201301";"nov-dez-jan 2013";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,2"
"201302";"dez-jan-fev 2013";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,8"
"201303";"jan-fev-mar 2013";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,0"
"201304";"fev-mar-abr 2013";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,9"
"201305";"mar-abr-mai 2013";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,6"
"201306";"abr-mai-jun 2013";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,5"
"201307";"mai-jun-jul 2013";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,4"
"201308";"jun-jul-ago 2013";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,2"
"201309";"jul-ago-set 2013";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,0"
"201310";"ago-set-out 2013";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,8"
"201311";"set-out-nov 2013";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,5"
"201312";"out-nov-dez 2013";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,2"
"201401";"nov-dez-jan 2014";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,5"
"201402";"dez-jan-fev 2014";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,8"
"201403";"jan-fev-mar 2014";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,2"
"201404";"fev-mar-abr 2014";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,2"
"201405";"mar-abr-mai 2014";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,0"
"201406";"abr-mai-jun 2014";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,9"
"201407";"mai-jun-jul 2014";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,0"
"201408";"jun-jul-ago 2014";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,0"
"201409";"jul-ago-set 2014";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,8"
"201410";"ago-set-out 2014";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,7"
"201411";"set-out-nov 2014";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,6"
"201412";"out-nov-dez 2014";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,6"
"201501";"nov-dez-jan 2015";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,9"
"201502";"dez-jan-fev 2015";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,5"
"201503";"jan-fev-mar 2015";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,0"
"201504";"fev-mar-abr 2015";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,1"
"201505";"mar-abr-mai 2015";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,2"
"201506";"abr-mai-jun 2015";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,4"
"201507";"mai-jun-jul 2015";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,6"
"201508";"jun-jul-ago 2015";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,8"
"201509";"jul-ago-set 2015";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,0"
"201510";"ago-set-out 2015";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,1"
"201511";"set-out-nov 2015";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,1"
"201512";"out-nov-dez 2015";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,1"
"201601";"nov-dez-jan 2016";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,6"
"201602";"dez-jan-fev 2016";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,3"
"201603";"jan-fev-mar 2016";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,0"
"201604";"fev-mar-abr 2016";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,3"
"201605";"mar-abr-mai 2016";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,3"
"201606";"abr-mai-jun 2016";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,4"
"201607";"mai-jun-jul 2016";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,7"
"201608";"jun-jul-ago 2016";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,9"
"201609";"jul-ago-set 2016";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,9"
"201610";"ago-set-out 2016";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,9"
"201611";"set-out-nov 2016";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,0"
"201612";"out-nov-dez 2016";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,1"
"201701";"nov-dez-jan 2017";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,7"
"201702";"dez-jan-fev 2017";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,3"
"201703";"jan-fev-mar 2017";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,9"
"201704";"fev-mar-abr 2017";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,7"
"201705";"mar-abr-mai 2017";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,4"
"201706";"abr-mai-jun 2017";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,1"
"201707";"mai-jun-jul 2017";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,9"
"201708";"jun-jul-ago 2017";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,7"
"201709";"jul-ago-set 2017";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,5"
"201710";"ago-set-out 2017";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,3"
"201711";"set-out-nov 2017";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,1"
"201712";"out-nov-dez 2017";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,9"
"201801";"nov-dez-jan 2018";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,3"
"201802";"dez-jan-fev 2018";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,7"
"201803";"jan-fev-mar 2018";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,2"
"201804";"fev-mar-abr 2018";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,0"
"201805";"mar-abr-mai 2018";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,8"
"201806";"abr-mai-jun 2018";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,6"
"201807";"mai-jun-jul 2018";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,4"
"201808";"jun-jul-ago 2018";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,2"
"201809";"jul-ago-set 2018";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,0"
"201810";"ago-set-out 2018";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,8"
"201811";"set-out-nov 2018";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,7"
"201812";"out-nov-dez 2018";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,7"
"201901";"nov-dez-jan 2019";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,2"
"201902";"dez-jan-fev 2019";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,5"
"201903";"jan-fev-mar 2019";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,8"
"201904";"fev-mar-abr 2019";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,6"
"201905";"mar-abr-mai 2019";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,4"
"201906";"abr-mai-jun 2019";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,1"
"201907";"mai-jun-jul 2019";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,9"
"201908";"jun-jul-ago 2019";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,9"
"201909";"jul-ago-set 2019";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,9"
"201910";"ago-set-out 2019";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,7"
"201911";"set-out-nov 2019";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,3"
"201912";"out-nov-dez 2019";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,1"
"202001";"nov-dez-jan 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,3"
"202002";"dez-jan-fev 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,7"
"202003";"jan-fev-mar 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,4"
"202004";"fev-mar-abr 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,7"
"202005";"mar-abr-mai 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,1"
"202006";"abr-mai-jun 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,6"
"202007";"mai-jun-jul 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,1"
"202008";"jun-jul-ago 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,8"
"202009";"jul-ago-set 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,9"
"202010";"ago-set-out 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,6"
"202011";"set-out-nov 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,3"
"202012";"out-nov-dez 2020";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,2"
"202101";"nov-dez-jan 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,4"
"202102";"dez-jan-fev 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,6"
"202103";"jan-fev-mar 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,9"
"202104";"fev-mar-abr 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,8"
"202105";"mar-abr-mai 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,7"
"202106";"abr-mai-jun 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"14,2"
"202107";"mai-jun-jul 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,7"
"202108";"jun-jul-ago 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"13,2"
"202109";"jul-ago-set 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,7"
"202110";"ago-set-out 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"12,1"
"202111";"set-out-nov 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,6"
"202112";"out-nov-dez 2021";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,1"
"202201";"nov-dez-jan 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,2"
"202202";"dez-jan-fev 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,2"
"202203";"jan-fev-mar 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"11,1"
"202204";"fev-mar-abr 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"10,5"
"202205";"mar-abr-mai 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,8"
"202206";"abr-mai-jun 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,3"
"202207";"mai-jun-jul 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"9,1"
"202208";"jun-jul-ago 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,9"
"202209";"jul-ago-set 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,7"
"202210";"ago-set-out 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,3"
"202211";"set-out-nov 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,1"
"202212";"out-nov-dez 2022";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,9"
"202301";"nov-dez-jan 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,4"
"202302";"dez-jan-fev 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,6"
"202303";"jan-fev-mar 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,8"
"202304";"fev-mar-abr 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,5"
"202305";"mar-abr-mai 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,3"
"202306";"abr-mai-jun 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"8,0"
"202307";"mai-jun-jul 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,9"
"202308";"jun-jul-ago 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,8"
"202309";"jul-ago-set 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,7"
"202310";"ago-set-out 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,6"
"202311";"set-out-nov 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,5"
"202312";"out-nov-dez 2023";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,4"
"202401";"nov-dez-jan 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,6"
"202402";"dez-jan-fev 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,8"
"202403";"jan-fev-mar 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,9"
"202404";"fev-mar-abr 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,5"
"202405";"mar-abr-mai 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,1"
"202406";"abr-mai-jun 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,9"
"202407";"mai-jun-jul 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,8"
"202408";"jun-jul-ago 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,6"
"202409";"jul-ago-set 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,4"
"202410";"ago-set-out 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,2"
"202411";"set-out-nov 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,1"
"202412";"out-nov-dez 2024";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,2"
"202501";"nov-dez-jan 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,5"
"202502";"dez-jan-fev 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,8"
"202503";"jan-fev-mar 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"7,0"
"202504";"fev-mar-abr 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,6"
"202505";"mar-abr-mai 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"6,2"
"202506";"abr-mai-jun 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,8"
"202507";"mai-jun-jul 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,6"
"202508";"jun-jul-ago 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,6"
"202509";"jul-ago-set 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,6"
"202510";"ago-set-out 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,4"
"202511";"set-out-nov 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,2"
"202512";"out-nov-dez 2025";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,1"
"202601";"nov-dez-jan 2026";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,4"
"202602";"dez-jan-fev 2026";"Taxa de desocupação, na semana de referência, das pessoas de 14 anos ou mais de idade";"5,8"
